Time (s),Raw Pressure (mmHg),Low-Pass Filtered (Amplitude),BPM (at peak time)
2.841,55.58,-1.1694,
2.851,55.25,-1.2098,
2.860,55.92,-1.2439,
2.871,56.03,-1.2704,
2.881,56.00,-1.2882,
2.891,56.50,-1.2969,
2.901,56.85,-1.2961,
2.911,57.60,-1.2860,
2.921,57.61,-1.2668,
2.931,57.87,-1.2387,
2.941,58.26,-1.2019,
2.951,58.50,-1.1568,
2.962,59.02,-1.1038,
2.973,59.09,-1.0435,
2.983,59.59,-0.9766,
2.994,59.50,-0.9038,
3.001,59.82,-0.8258,
3.011,60.39,-0.7438,
3.021,60.50,-0.6588,
3.031,60.98,-0.5718,
3.041,60.72,-0.4840,
3.051,61.39,-0.3960,
3.071,61.90,-0.3090,
3.092,62.57,-0.2236,
3.113,63.41,-0.1401,
3.135,64.06,-0.0582,
3.153,64.70,0.0232,
3.174,65.32,0.1059,
3.192,65.53,0.1918,
3.204,66.11,0.2833,
3.214,66.17,0.3822,
3.225,66.76,0.4898,
3.235,67.01,0.6069,
3.246,66.96,0.7333,
3.251,67.44,0.8679,
3.262,67.89,1.0091,
3.272,68.08,1.1544,
3.281,68.44,1.3010,
3.291,68.27,1.4461,
3.301,68.91,1.5864,
3.311,69.61,1.7189,
3.321,69.56,1.8408,
3.331,70.10,1.9498,
3.341,69.99,2.0442,
3.351,70.49,2.1226,
3.361,70.86,2.1843,
3.371,70.78,2.2288,
3.381,71.39,2.2562,
3.391,71.65,2.2667,38.0
3.401,72.00,2.2612,
3.411,72.10,2.2408,
3.422,72.41,2.2070,
3.431,72.86,2.1613,
3.449,73.04,2.1056,
3.463,73.67,2.0418,
3.476,74.24,1.9718,
3.491,74.79,1.8980,
3.504,75.67,1.8228,
3.517,75.52,1.7490,
3.527,76.20,1.6794,
3.540,76.32,1.6167,
3.555,76.36,1.5631,
3.567,77.09,1.5201,
3.579,77.47,1.4883,
3.601,77.79,1.4680,
3.616,78.17,1.4588,
3.626,78.79,1.4599,
3.637,78.93,1.4705,
3.648,79.68,1.4891,
3.658,79.60,1.5145,
3.663,80.27,1.5453,
3.674,80.01,1.5796,
3.681,80.17,1.6159,
3.690,80.61,1.6519,
3.701,81.05,1.6853,
3.712,81.86,1.7138,
3.722,81.83,1.7356,
3.730,81.84,1.7492,
3.740,82.29,1.7537,153.8
3.751,82.56,1.7482,
3.762,82.57,1.7324,
3.772,83.13,1.7057,
3.782,83.27,1.6683,
3.796,83.85,1.6202,
3.810,84.18,1.5620,
3.824,84.64,1.4946,
3.838,85.46,1.4196,
3.851,85.48,1.3386,
3.865,85.76,1.2538,
3.880,86.34,1.1676,
3.896,86.97,1.0822,
3.918,87.97,0.9998,
3.941,88.23,0.9226,
3.959,88.61,0.8530,
3.980,89.53,0.7933,
4.021,90.86,0.7454,
4.051,91.37,0.7114,
4.080,92.19,0.6932,
4.110,93.47,0.6928,
4.140,94.27,0.7119,
4.169,95.01,0.7523,
4.198,95.71,0.8152,
4.228,96.91,0.9014,
4.280,98.42,1.0108,
4.290,98.81,1.1432,
4.301,99.23,1.2977,
4.311,99.65,1.4727,
4.321,99.59,1.6655,
4.331,99.63,1.8721,
4.341,100.14,2.0868,
4.350,100.29,2.3028,
4.360,100.65,2.5125,
4.370,101.30,2.7076,
4.380,100.84,2.8803,
4.390,101.80,3.0233,
4.401,101.91,3.1302,
4.411,102.32,3.1956,
4.422,102.74,3.2157,44.1
4.432,102.81,3.1884,
4.442,103.54,3.1129,
4.457,103.59,2.9900,
4.471,104.04,2.8219,
4.483,104.21,2.6120,
4.499,105.05,2.3646,
4.521,105.44,2.0851,
4.534,105.83,1.7794,
4.548,106.37,1.4539,
4.561,106.62,1.1157,
4.575,106.86,0.7714,
4.589,107.48,0.4276,
4.601,108.16,0.0902,
4.615,108.18,-0.2354,
4.628,108.94,-0.5445,
4.642,109.21,-0.8333,
4.656,109.57,-1.0985,
4.665,110.00,-1.3379,
4.674,110.23,-1.5503,
4.683,110.24,-1.7352,
4.693,110.60,-1.8931,
4.704,110.98,-2.0256,
4.713,111.26,-2.1347,
4.722,111.61,-2.2233,
4.731,111.68,-2.2943,
4.741,112.44,-2.3509,
4.751,112.66,-2.3962,
4.761,112.60,-2.4330,
4.771,113.17,-2.4639,
4.781,113.81,-2.4911,
4.791,113.73,-2.5164,
4.801,113.92,-2.5413,
4.826,114.71,-2.5667,
4.855,115.64,-2.5932,
4.877,116.61,-2.6207,
4.908,117.30,-2.6482,
4.932,117.82,-2.6737,
4.945,118.60,-2.6944,
4.955,118.51,-2.7072,
4.961,118.53,-2.7089,
4.971,118.66,-2.6975,
4.981,119.67,-2.6714,
4.991,119.46,-2.6306,
5.000,119.86,-2.5757,
5.010,120.02,-2.5082,
5.020,120.58,-2.4303,
5.030,120.69,-2.3445,
5.041,121.07,-2.2538,
5.051,121.70,-2.1612,
5.061,121.89,-2.0693,
5.071,121.85,-1.9806,
5.081,122.26,-1.8972,
5.091,123.00,-1.8209,
5.101,122.79,-1.7531,
5.111,123.43,-1.6949,
5.121,123.47,-1.6466,
5.131,124.09,-1.6083,
5.141,123.97,-1.5799,
5.151,124.59,-1.5606,
5.161,124.93,-1.5496,
5.171,125.00,-1.5458,
5.181,125.60,-1.5479,
5.191,125.78,-1.5543,
5.201,126.30,-1.5636,
5.211,126.21,-1.5740,
5.221,126.31,-1.5840,
5.231,126.65,-1.5924,
5.242,127.45,-1.5982,
5.251,127.68,-1.6007,
5.261,127.59,-1.5990,
5.271,127.79,-1.5925,
5.287,128.66,-1.5807,
5.297,129.10,-1.5634,
5.307,129.27,-1.5401,
5.316,129.41,-1.5106,
5.326,129.54,-1.4743,
5.337,129.99,-1.4311,
5.347,130.10,-1.3814,
5.356,130.44,-1.3255,
5.365,130.88,-1.2642,
5.374,131.21,-1.1982,
5.384,131.67,-1.1283,
5.394,131.38,-1.0552,
5.401,132.02,-0.9796,
5.411,132.33,-0.9022,
5.421,132.54,-0.8238,
5.431,132.65,-0.7451,
5.441,133.04,-0.6666,
5.451,133.60,-0.5891,
5.461,133.90,-0.5130,
5.472,134.07,-0.4386,
5.482,134.68,-0.3659,
5.493,134.71,-0.2948,
5.505,134.87,-0.2249,
5.515,135.54,-0.1561,
5.525,135.60,-0.0882,
5.535,135.74,-0.0209,
5.546,136.30,0.0458,
5.556,136.48,0.1119,
5.566,136.91,0.1775,
5.576,137.11,0.2423,
5.587,137.55,0.3066,
5.596,137.53,0.3701,
